"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TMCV","EQ","27-Apr-2026","424.55","425.80","428.10","419.00","421.00","420.75","422.80","58,62,709","2,47,87,64,722.30","1,12,565","27,97,421","47.72"
"TMCV","EQ","24-Apr-2026","431.85","432.00","435.45","421.10","424.95","424.55","426.02","45,14,900","1,92,34,35,932.65","78,904","15,79,184","34.98"
"TMCV","EQ","23-Apr-2026","447.80","447.75","448.50","430.20","432.00","431.85","437.27","86,76,219","3,79,38,30,502.20","1,18,533","47,43,584","54.67"
"TMCV","EQ","22-Apr-2026","442.55","442.05","449.90","440.60","448.45","447.80","446.78","75,80,971","3,38,70,46,863.45","95,249","35,37,159","46.66"
"TMCV","EQ","21-Apr-2026","438.40","438.40","449.00","437.50","442.90","442.55","443.04","76,81,395","3,40,31,91,780.35","98,054","32,00,429","41.66"
"TMCV","EQ","20-Apr-2026","439.10","440.00","441.00","431.05","435.50","438.40","436.37","72,47,939","3,16,27,84,756.45","1,14,227","32,53,657","44.89"
"TMCV","EQ","17-Apr-2026","442.00","438.05","445.40","435.70","439.15","439.10","439.64","88,46,833","3,88,93,79,008.85","1,09,503","32,80,832","37.08"
"TMCV","EQ","16-Apr-2026","435.20","441.00","444.55","437.60","441.15","442.00","440.92","77,84,251","3,43,22,02,975.00","92,612","33,89,167","43.54"
"TMCV","EQ","15-Apr-2026","429.80","442.30","446.00","433.10","435.40","435.20","439.80","1,18,71,430","5,22,10,68,875.70","1,38,462","60,38,297","50.86"
"TMCV","EQ","13-Apr-2026","444.55","430.00","442.65","423.00","430.10","429.80","433.35","1,39,39,395","6,04,06,00,609.00","1,48,014","47,40,555","34.01"
"TMCV","EQ","10-Apr-2026","425.60","433.00","446.25","430.35","443.50","444.55","439.05","1,59,53,966","7,00,46,61,319.10","1,72,433","75,25,773","47.17"
"TMCV","EQ","09-Apr-2026","434.05","434.05","443.00","422.10","425.00","425.60","430.36","1,52,65,854","6,56,98,79,802.90","1,75,205","61,43,097","40.24"
"TMCV","EQ","08-Apr-2026","396.05","413.40","445.95","409.55","436.10","434.05","433.89","3,47,82,882","15,09,20,77,435.20","3,11,375","89,65,110","25.77"
"TMCV","EQ","07-Apr-2026","391.30","389.00","398.00","384.50","396.95","396.05","391.25","89,96,274","3,51,97,68,044.15","1,06,244","29,42,846","32.71"
"TMCV","EQ","06-Apr-2026","388.10","388.95","396.85","382.55","391.00","391.30","390.02","99,99,061","3,89,98,15,801.80","1,17,383","40,69,548","40.70"
"TMCV","EQ","02-Apr-2026","396.05","390.00","392.65","375.80","386.90","388.10","381.66","2,10,90,138","8,04,92,49,920.20","4,69,128","96,07,342","45.55"
"TMCV","EQ","01-Apr-2026","394.80","414.50","417.85","391.00","392.95","396.05","404.77","1,73,30,457","7,01,47,82,112.55","2,14,664","74,23,549","42.84"
"TMCV","EQ","30-Mar-2026","427.60","410.85","416.10","388.75","394.00","394.80","396.50","2,87,62,802","11,40,43,67,854.25","3,67,123","1,20,25,600","41.81"
"TMCV","EQ","27-Mar-2026","431.85","426.00","437.00","407.10","419.50","427.60","424.63","6,96,78,556","29,58,77,10,510.70","3,26,688","4,06,45,652","58.33"
"TMCV","EQ","25-Mar-2026","415.70","420.00","436.25","420.00","436.25","431.85","429.22","1,06,47,115","4,56,99,59,286.10","1,48,516","51,82,396","48.67"
"TMCV","EQ","24-Mar-2026","394.45","413.65","420.80","404.60","417.25","415.70","412.99","1,43,92,515","5,94,39,12,315.80","1,75,645","56,33,887","39.14"
"TMCV","EQ","23-Mar-2026","419.65","415.40","416.00","391.80","395.25","394.45","398.37","1,94,03,533","7,72,98,07,915.20","3,79,362","1,17,59,243","60.60"
"TMCV","EQ","20-Mar-2026","417.25","423.80","424.00","415.00","420.00","419.65","419.81","1,20,96,032","5,07,80,64,467.15","1,66,657","73,07,626","60.41"
"TMCV","EQ","19-Mar-2026","447.65","440.00","440.00","413.75","420.00","417.25","424.73","1,11,82,730","4,74,96,32,133.30","2,14,170","59,12,777","52.87"
"TMCV","BL","18-Mar-2026","429.30","450.00","450.00","450.00","450.00","450.00","450.00","10,51,591","47,32,15,950.00","1","-","-"
"TMCV","EQ","18-Mar-2026","441.95","445.00","451.60","438.65","446.50","447.65","446.31","84,41,099","3,76,73,40,799.85","1,19,630","41,76,895","49.48"
"TMCV","EQ","17-Mar-2026","437.60","445.00","446.85","430.10","441.75","441.95","438.15","88,04,211","3,85,76,03,655.30","1,39,349","32,85,121","37.31"
"TMCV","EQ","16-Mar-2026","425.65","420.00","442.00","415.80","435.00","437.60","431.07","78,70,236","3,39,26,53,074.80","1,21,950","33,82,698","42.98"
"TMCV","EQ","13-Mar-2026","443.55","439.00","442.15","418.00","426.00","425.65","425.47","1,19,71,586","5,09,35,86,610.15","1,88,848","52,83,786","44.14"
"TMCV","EQ","12-Mar-2026","445.45","440.95","446.90","425.00","445.20","443.55","437.68","1,22,85,760","5,37,72,24,497.25","1,61,836","52,60,954","42.82"
"TMCV","EQ","11-Mar-2026","459.15","465.00","469.90","440.00","444.40","445.45","452.13","89,44,929","4,04,42,96,377.55","1,40,580","44,25,240","49.47"
"TMCV","EQ","10-Mar-2026","448.30","458.20","470.65","455.30","460.50","459.15","461.26","1,18,93,074","5,48,57,87,247.75","1,36,971","58,27,855","49.00"
"TMCV","EQ","09-Mar-2026","474.25","463.75","467.70","433.40","448.00","448.30","451.97","1,62,69,063","7,35,31,62,800.85","3,41,270","81,08,901","49.84"
"TMCV","EQ","06-Mar-2026","480.40","485.00","492.15","471.05","476.30","474.25","485.18","1,01,26,110","4,91,29,79,816.60","1,86,176","57,49,234","56.78"
"TMCV","EQ","05-Mar-2026","470.75","473.70","487.60","472.70","480.55","480.40","480.64","95,88,536","4,60,85,90,862.65","1,79,719","47,07,059","49.09"
"TMCV","EQ","04-Mar-2026","498.00","490.00","492.00","466.05","472.00","470.75","476.09","1,24,93,327","5,94,78,88,697.75","2,34,049","78,46,738","62.81"
"TMCV","EQ","02-Mar-2026","505.30","485.00","506.50","483.00","498.10","498.00","496.31","1,15,33,032","5,72,40,05,908.45","1,64,455","63,34,086","54.92"
"TMCV","EQ","27-Feb-2026","491.35","495.00","509.00","491.55","502.20","505.30","502.54","1,99,88,897","10,04,52,20,756.05","1,68,728","1,22,76,548","61.42"
"TMCV","EQ","26-Feb-2026","479.85","480.00","495.00","480.00","491.10","491.35","489.32","1,21,83,458","5,96,16,67,634.90","1,03,858","77,16,920","63.34"
"TMCV","EQ","25-Feb-2026","475.50","478.00","482.95","474.30","479.65","479.85","478.30","73,35,673","3,50,86,46,650.05","1,03,539","48,38,365","65.96"
"TMCV","EQ","24-Feb-2026","479.80","483.30","483.35","472.55","475.05","475.50","476.80","79,67,467","3,79,89,20,994.65","1,23,658","49,06,144","61.58"
"TMCV","EQ","23-Feb-2026","472.90","478.95","485.80","471.50","479.85","479.80","480.80","53,99,290","2,59,59,82,668.50","88,458","26,12,687","48.39"
"TMCV","EQ","20-Feb-2026","474.50","476.30","482.90","471.05","474.50","472.90","476.62","54,75,490","2,60,97,28,301.90","1,02,195","27,31,500","49.89"
"TMCV","EQ","19-Feb-2026","488.80","489.00","490.00","470.00","476.50","474.50","479.68","56,88,844","2,72,88,41,376.65","75,909","32,34,026","56.85"
"TMCV","EQ","18-Feb-2026","489.75","490.60","498.75","485.20","487.50","488.80","494.00","82,89,178","4,09,48,53,765.75","98,070","37,42,729","45.15"
"TMCV","EQ","17-Feb-2026","479.05","482.45","491.00","479.30","489.00","489.75","484.80","66,59,240","3,22,83,74,202.10","1,02,604","30,26,377","45.45"
"TMCV","EQ","16-Feb-2026","483.75","483.90","490.90","476.90","479.30","479.05","483.47","51,27,469","2,47,89,75,354.65","76,494","29,26,842","57.08"
"TMCV","EQ","13-Feb-2026","498.15","494.00","498.90","481.55","484.15","483.75","486.54","74,93,260","3,64,57,99,864.45","1,10,832","40,71,113","54.33"
"TMCV","EQ","12-Feb-2026","487.20","491.05","500.00","483.65","496.00","498.15","494.47","1,42,36,647","7,03,95,71,581.00","2,97,336","73,76,100","51.81"
"TMCV","EQ","11-Feb-2026","472.55","488.00","497.80","479.30","487.50","487.20","487.28","1,90,65,592","9,29,02,76,188.80","2,22,346","84,75,994","44.46"
"TMCV","EQ","10-Feb-2026","466.80","470.00","476.90","467.80","471.00","472.55","471.41","46,79,330","2,20,58,79,118.30","88,632","25,81,946","55.18"
"TMCV","EQ","09-Feb-2026","458.25","460.00","472.95","456.80","467.00","466.80","467.25","98,24,389","4,59,04,24,396.85","1,29,104","52,52,450","53.46"
"TMCV","EQ","06-Feb-2026","455.90","458.00","461.45","447.60","458.40","458.25","452.99","93,48,251","4,23,46,25,650.85","99,961","47,73,878","51.07"
"TMCV","EQ","05-Feb-2026","458.45","461.60","465.75","454.00","455.90","455.90","457.59","45,48,779","2,08,14,66,833.25","63,818","23,68,449","52.07"
"TMCV","EQ","04-Feb-2026","457.95","464.00","472.90","456.65","459.00","458.45","463.58","82,03,293","3,80,29,01,278.60","1,18,806","38,52,835","46.97"
"TMCV","EQ","03-Feb-2026","443.55","470.00","479.70","451.25","458.75","457.95","462.64","1,49,19,486","6,90,23,48,997.00","1,73,508","77,74,059","52.11"
"TMCV","EQ","02-Feb-2026","441.30","441.00","446.90","431.00","444.55","443.55","438.88","1,21,82,905","5,34,68,60,655.45","1,30,204","50,07,210","41.10"
